top_set,external_evidence,universe_sites,top_sites,external_sites_in_universe,overlap_count,top_overlap_fraction,background_overlap_fraction,odds_ratio,fisher_p_greater
top_residual_decile,orthogonal_validated_combined,80303,8031,80303,8031,1.0,1.0,,1.0
top_residual_decile,orthogonal_validated_hek293t,80303,8031,41491,4081,0.5081558959033744,0.5176278503431481,0.9627955836623932,0.9477122216231246
top_residual_decile,fto_responsive_dmr,80303,8031,36579,3364,0.4188768521977338,0.4595832410892185,0.8475841196822966,0.9999999999984933
top_residual_decile,supplementary_glori_supported,80303,8031,18873,3682,0.45847341551487986,0.21019205224706664,3.181263082534301,0.0
top_residual_decile,supplementary_etam_supported,80303,8031,15854,3039,0.37840866641763166,0.17731624972326765,2.82449301637204,0.0
top_residual_decile,supplementary_hek293t_supported,80303,8031,18417,3564,0.44378035113933506,0.2055152756254151,3.084346678035751,0.0
top_event_decile,orthogonal_validated_combined,80303,8031,80303,8031,1.0,1.0,,1.0
top_event_decile,orthogonal_validated_hek293t,80303,8031,41491,4144,0.5160004980699788,0.5167561434580473,0.9969787443686974,0.5558386345049452
top_event_decile,fto_responsive_dmr,80303,8031,36579,3536,0.4402938612875109,0.45720334292672127,0.9339214008968056,0.9981383109590908
top_event_decile,supplementary_glori_supported,80303,8031,18873,4118,0.5127630432075707,0.20415928713748063,4.10235751969969,0.0
top_event_decile,supplementary_etam_supported,80303,8031,15854,3415,0.4252272444278421,0.1721136816471109,3.558608557420524,0.0
top_event_decile,supplementary_hek293t_supported,80303,8031,18417,3987,0.4964512514008218,0.19966238653973875,3.9519556191663017,0.0
detected_threshold,orthogonal_validated_combined,80303,29086,80303,29086,1.0,1.0,,1.0
detected_threshold,orthogonal_validated_hek293t,80303,29086,41491,14892,0.5119988998143437,0.5193392818790636,0.9710367901300007,0.9776755903751535
detected_threshold,fto_responsive_dmr,80303,29086,36579,13901,0.4779275252698893,0.4427826698166624,1.1520338699503025,3.9939775405659907e-22
detected_threshold,supplementary_glori_supported,80303,29086,18873,14196,0.48806986178917694,0.09131733604076771,9.487030612776785,0.0
detected_threshold,supplementary_etam_supported,80303,29086,15854,11917,0.40971601457745993,0.07686900833707558,8.335544834640254,0.0
detected_threshold,supplementary_hek293t_supported,80303,29086,18417,13821,0.47517706112906555,0.08973582990022844,9.184261125682994,0.0
