split,scope,decile,n,positive_rate,lift_vs_random
test,all_observed,1,519450,0.0445721436134372,4.078238870205064
test,all_observed,2,519449,0.0191799387427832,1.7549160836273814
test,all_observed,3,519450,0.0121898161516989,1.1153374735947164
test,all_observed,4,519449,0.0082183236467872,0.7519559129785499
test,all_observed,5,519450,0.006322071421696,0.5784536107525345
test,all_observed,6,519449,0.004585628232993,0.4195734328214817
test,all_observed,7,519450,0.003288093175474,0.3008522433511963
test,all_observed,8,519449,0.0058870071941615,0.5386463297934893
test,all_observed,9,519450,0.0028260660313793,0.2585779234423632
test,all_observed,10,519449,0.0022235099114638,0.2034455562169653
test,heldout_input_entries,1,103890,0.0442487246125709,4.048789479590927
test,heldout_input_entries,2,103890,0.0192992588314563,1.765895781287755
test,heldout_input_entries,3,103890,0.0121667147944941,1.1132629763330286
test,heldout_input_entries,4,103890,0.0081432284146693,0.7451111376406188
test,heldout_input_entries,5,103890,0.0065068822793339,0.595384313292031
test,heldout_input_entries,6,103890,0.0046298970064491,0.4236388383039451
test,heldout_input_entries,7,103890,0.0030898065261334,0.2827194742111568
test,heldout_input_entries,8,103890,0.0060159784387332,0.5504662659874547
test,heldout_input_entries,9,103890,0.0030031764366156,0.2747927599809374
test,heldout_input_entries,10,103889,0.0021850244010434,0.1999312722582006
train,all_observed,1,2393900,0.0530423158862107,4.531464290822088
train,all_observed,2,2393899,0.0224178213032379,1.915179513118925
train,all_observed,3,2393900,0.0142679309912694,1.218925280893692
train,all_observed,4,2393899,0.0097284806084133,0.8311149644286262
train,all_observed,5,2393900,0.0068177451021345,0.5824475790334334
train,all_observed,6,2393899,0.0046626862703898,0.398338495983182
train,all_observed,7,2393900,0.0029880111951209,0.255269133804678
train,all_observed,8,2393899,0.0019946539097931,0.1704055114065305
train,all_observed,9,2393900,0.0006495676511132,0.0554932899575386
train,all_observed,10,2393899,0.0004841474097278,0.0413612539728102
train,heldout_input_entries,1,478780,0.0468733029784034,4.004424337146423
train,heldout_input_entries,2,478780,0.02036217051673,1.7395567624472188
train,heldout_input_entries,3,478780,0.013329713020594,1.138768207809842
train,heldout_input_entries,4,478780,0.0091482518066752,0.7815425807281585
train,heldout_input_entries,5,478780,0.0068465683612515,0.5849078948919871
train,heldout_input_entries,6,478780,0.0049041313338067,0.4189639222716247
train,heldout_input_entries,7,478780,0.0036551234387401,0.31226016353294
train,heldout_input_entries,8,478780,0.0062575713271231,0.5345893999683934
train,heldout_input_entries,9,478780,0.0032520155394962,0.2778223283547358
train,heldout_input_entries,10,478779,0.0024249183861447,0.2071627468955172
val,all_observed,1,498155,0.0479649908161114,4.020049199069002
val,all_observed,2,498154,0.0207526186681227,1.7393216726593876
val,all_observed,3,498154,0.0131947148873641,1.1058774767256871
val,all_observed,4,498155,0.0095030663147012,0.7964724578719619
val,all_observed,5,498154,0.0069436359037566,0.5819610820012402
val,all_observed,6,498154,0.0052092324863395,0.4365969956037057
val,all_observed,7,498155,0.0036494665315012,0.3058696511219321
val,all_observed,8,498154,0.0064357608289805,0.5393949779982585
val,all_observed,9,498154,0.003187769244049,0.2671738069436165
val,all_observed,10,498154,0.0024731307989095,0.2072784194927805
val,heldout_input_entries,1,99631,0.0481878130300809,4.038857880404975
val,heldout_input_entries,2,99631,0.0207666288604952,1.7405534169043726
val,heldout_input_entries,3,99631,0.0132890365448504,1.1138195862645672
val,heldout_input_entries,4,99631,0.0093545181720548,0.7840482283977165
val,heldout_input_entries,5,99630,0.0067750677506775,0.567851787712796
val,heldout_input_entries,6,99631,0.0053296664692716,0.4467055893553514
val,heldout_input_entries,7,99631,0.0036032961628408,0.3020099935566311
val,heldout_input_entries,8,99631,0.0062229627324828,0.5215771476465496
val,heldout_input_entries,9,99631,0.0029508887795967,0.247328518400138
val,heldout_input_entries,10,99630,0.0028304727491719,0.2372358579777903
